iter	Passed	Remaining
0	0	29
1	0	30
2	0	29
3	1	28
4	1	28
5	1	27
6	2	27
7	2	26
8	2	25
9	2	25
10	3	24
11	3	24
12	3	24
13	3	23
14	4	23
15	4	23
16	4	22
17	4	22
18	5	22
19	5	21
20	5	22
21	6	21
22	6	21
23	6	20
24	6	20
25	7	20
26	7	20
27	7	19
28	7	19
29	8	19
30	8	18
31	8	18
32	8	18
33	9	17
34	9	17
35	9	17
36	9	16
37	10	16
38	10	16
39	10	16
40	11	15
41	11	15
42	11	15
43	11	14
44	12	15
45	12	15
46	13	14
47	13	14
48	13	14
49	14	14
50	14	13
51	14	13
52	15	13
53	15	13
54	15	12
55	15	12
56	16	12
57	16	11
58	16	11
59	17	11
60	17	11
61	17	10
62	17	10
63	18	10
64	18	9
65	18	9
66	19	9
67	19	9
68	19	8
69	19	8
70	20	8
71	20	7
72	20	7
73	21	7
74	21	7
75	21	6
76	21	6
77	22	6
78	22	6
79	22	5
80	23	5
81	23	5
82	23	4
83	23	4
84	24	4
85	24	4
86	24	3
87	25	3
88	25	3
89	25	2
90	26	2
91	26	2
92	26	1
93	26	1
94	27	1
95	27	1
96	27	0
97	28	0
98	28	0
99	28	0
