iter	Passed	Remaining
0	3	3046
1	3	1697
2	3	1222
3	3	993
4	4	851
5	4	757
6	4	684
7	5	629
8	5	597
9	5	576
10	6	550
11	6	536
12	6	517
13	7	522
14	7	513
15	8	507
16	8	502
17	9	491
18	9	487
19	9	482
20	10	478
21	10	477
22	11	474
23	11	466
24	11	460
25	12	456
26	12	451
27	12	443
28	13	437
29	13	431
30	13	426
31	13	420
32	14	415
33	14	410
34	14	406
35	15	403
36	15	399
37	15	396
38	15	392
39	16	388
40	16	385
41	16	382
42	17	381
43	17	378
44	17	375
45	17	372
46	18	369
47	18	368
48	18	367
49	19	366
50	19	365
51	20	364
52	20	362
53	20	361
54	20	360
55	21	359
56	21	358
57	22	362
58	22	363
59	23	362
60	23	363
61	24	363
62	24	363
63	24	364
64	25	363
65	25	361
66	26	362
67	26	361
68	26	360
69	27	358
70	27	357
71	27	356
72	27	354
73	28	354
74	28	352
75	28	351
76	29	350
77	29	348
78	29	347
79	30	345
80	30	344
81	30	342
82	30	339
83	30	337
84	31	336
85	31	334
86	31	333
87	32	332
88	32	330
89	32	330
90	32	328
91	33	327
92	33	326
93	33	326
94	34	326
95	34	325
96	34	324
97	35	324
98	35	324
99	35	323
100	36	322
101	36	321
102	36	320
103	37	321
104	37	321
105	38	321
106	38	320
107	38	320
108	39	319
109	39	318
110	39	317
111	39	316
112	40	316
113	40	316
114	41	316
115	41	315
116	41	315
117	42	314
118	42	313
119	42	313
120	43	312
121	43	311
122	43	311
123	43	310
124	44	309
125	44	308
126	44	307
127	44	306
128	45	305
129	45	304
130	45	303
131	46	302
132	46	301
133	46	300
134	46	300
135	47	299
136	47	298
137	47	297
138	47	297
139	48	296
140	48	296
141	48	294
142	49	294
143	49	293
144	49	292
145	49	292
146	50	291
147	50	290
148	50	291
149	51	290
150	51	289
151	51	289
152	52	288
153	52	288
154	53	289
155	53	290
156	53	289
157	54	289
158	54	288
159	54	288
160	55	287
161	55	287
162	55	286
163	56	286
164	56	286
165	56	285
166	57	284
167	57	284
168	57	283
169	58	283
170	58	283
171	58	282
172	59	282
173	59	281
174	59	280
175	59	280
176	60	280
177	60	279
178	60	279
179	61	278
180	61	277
181	61	277
182	61	276
183	62	275
184	62	275
185	62	274
186	63	274
187	63	274
188	63	274
189	64	273
190	64	273
191	64	272
192	65	271
193	65	271
194	65	270
195	65	270
196	66	269
197	66	268
198	66	268
199	66	267
200	67	267
201	67	267
202	68	267
203	68	267
204	68	267
205	69	266
206	69	266
207	69	265
208	70	265
209	70	265
210	70	265
211	71	264
212	71	264
213	71	263
214	72	263
215	72	263
216	72	262
217	73	262
218	73	261
219	73	261
220	74	261
221	74	261
222	74	261
223	75	260
224	75	259
225	75	259
226	76	258
227	76	258
228	76	258
229	77	258
230	77	257
231	77	257
232	78	256
233	78	256
234	78	255
235	79	255
236	79	255
237	79	254
238	79	254
239	80	253
240	80	253
241	80	253
242	81	252
243	81	252
244	81	251
245	82	251
246	82	251
247	82	251
248	83	251
249	83	251
250	84	250
